"stationId","stationName","state","wfo","radar","timeZoneId","latitude","longitude"
"KJYO","Leesburg / Godfrey","VA","LWX","LWX","America/New_York",39.08333,-77.56667
"KLFI","Langley Air Force Base","VA","AKQ","AKQ","America/New_York",37.08333,-76.35
"KLKU","Louisa, Louisa County Airport/Freeman Field","VA","AKQ","LWX","America/New_York",38.00972,-77.97028
"KLNP","Wise / Lonesome Pine","VA","MRX","JKL","America/New_York",36.98333,-82.53333
"KLYH","Lynchburg, Lynchburg Regional Airport","VA","RNK","FCX","America/New_York",37.32083,-79.20667
"KMFV","Melfa / Accomack Airport","VA","AKQ","AKQ","America/New_York",37.65,-75.76667
"KMKJ","Marion / Wytheville","VA","RNK","FCX","America/New_York",36.9,-81.35
"KMTV","Martinsville","VA","RNK","FCX","America/New_York",36.63333,-80.01667
"KNGU","Norfolk, Naval Air Station","VA","AKQ","AKQ","America/New_York",36.93361,-76.29583
"KNTU","Virginia Beach, Oceana, Naval Air Station","VA","AKQ","AKQ","America/New_York",36.82111,-76.02833
"KNYG","Quantico Marine Corps Airfield - Turner Field","VA","LWX","LWX","US/Eastern",38.50326,-77.30129
"KOFP","Ashland, Hanover County Municipal Airport","VA","AKQ","AKQ","America/New_York",37.70806,-77.43444
"KOKV","Winchester Regional","VA","LWX","LWX","America/New_York",39.15,-78.15
"KOMH","Orange, Orange County Airport","VA","LWX","LWX","America/New_York",38.24722,-78.04556
"KORF","Norfolk, Norfolk International Airport","VA","AKQ","AKQ","America/New_York",36.90361,-76.19194
"KPHF","Newport News, Newport News / Williamsburg International Airport","VA","AKQ","AKQ","America/New_York",37.13194,-76.49306
"KPSK","Dublin / New River Valley","VA","RNK","FCX","America/New_York",37.13333,-80.68333
"KPTB","Petersburg, Dinwiddie County Airport","VA","AKQ","AKQ","America/New_York",37.18333,-77.51667
"KRIC","Richmond, Richmond International Airport","VA","AKQ","AKQ","America/New_York",37.51111,-77.32333
"KROA","Roanoke, Roanoke Regional Airport","VA","RNK","FCX","America/New_York",37.31694,-79.97417
"KSFQ","Suffolk, Suffolk Municipal Airport","VA","AKQ","AKQ","America/New_York",36.68222,-76.60194
"KSHD","Staunton / Shenandoah","VA","LWX","LWX","America/New_York",38.26667,-78.9
"KVJI","Abingdon","VA","MRX","MRX","America/New_York",36.68333,-82.03333
"KWAL","Wallops Flight Facility Airport","VA","AKQ","DOX","America/New_York",37.9372,-75.46619
"KFYJ","West Point, Middle Peninsula Regional Airport","VA","AKQ","AKQ","America/New_York",37.52111,-76.76444
"KJGG","Williamsburg-Jamestown Airport","VA","AKQ","AKQ","America/New_York",37.24157,-76.71672
"KNFE","Fentress, Naval Auxiliary Landing Field","VA","AKQ","AKQ","America/New_York",36.70083,-76.12833
"KRMN","Stafford, Stafford Regional Airport","VA","LWX","LWX","America/New_York",38.39806,-77.45528
"KW63","Clarksville / Marks","VA","AKQ","RAX","America/New_York",36.6,-78.56667
"KHWY","Warrenton-Fauquier Airport","VA","LWX","LWX","America/New_York",38.58765,-77.71501
"KJFZ","Tazewell County Airport","VA","RNK","FCX","America/New_York",37.064,-81.798
"K0VG","Lee County Airport","VA","MRX","MRX","America/New_York",36.65408,-83.21783
"KXSA","Tappahannock-Essex County Airport","VA","AKQ","AKQ","America/New_York",37.859611,-76.894111
"KFCI","Chesterfield County Airport","VA","AKQ","AKQ","America/New_York",37.406444,-77.524833
"KLUA","Luray Caverns","VA","LWX","LWX","America/New_York",38.6671,-78.5006
"KPVG","Norfolk Hampton Roads Executive Airport","VA","AKQ","AKQ","America/New_York",36.7801,-76.4488
"KW81","Crewe Municipal Airport","VA","AKQ","AKQ","America/New_York",37.181,-78.0983
"KLVL","Lawrenceville/Brunswick Municipal Airport","VA","AKQ","AKQ","America/New_York",36.7728,-77.7943
"KW31","Lunenburg County Airport","VA","AKQ","AKQ","America/New_York",36.9601,-78.185
"KFRR","Front Royal-warren County Airport","VA","LWX","LWX","America/New_York",38.9175,-78.2535
"KW78","William M Tuck Airport","VA","RNK","RAX","America/New_York",36.71,-78.848
"K0V4","Brookneal/Campbell County Airport","VA","RNK","FCX","America/New_York",37.1417,-79.0164
"K8W2","New Market Airport","VA","LWX","LWX","America/New_York",38.6557,-78.7081
"KW13","Eagles Nest Airport","VA","LWX","LWX","America/New_York",38.0769,-78.9444
"KGVE","Gordonsville Municipal Airport","VA","LWX","null","America/New_York",38.156,-78.1658
"KW96","New Kent County","VA","AKQ","AKQ","America/New_York",37.5032,-77.1255
"KW75","Saluda Hummel Field","VA","AKQ","AKQ","America/New_York",37.6024,-76.4467
"KCXE","Chase City Municipal Airport","VA","AKQ","RAX","America/New_York",36.7883,-78.5016
"K7W4","Lake Anna Airport","VA","AKQ","LWX","America/New_York",37.9658,-77.7459
"KVBW","Bridgewater Air Park","VA","LWX","LWX","America/New_York",38.36674,-78.96033
"KTGI","Tangier Island Airport","VA","AKQ","DOX","America/New_York",37.82587,-75.99766
"K1V4","St. Johnsbury - Fairbanks","VT","BTV","CXX","America/New_York",44.4201,-72.0193
